306,gatunga,62
307,mukothima,62
308,nkondi,62
309,chiakariga,62
310,marimanti,62
311,ruguru/ngandori,63
312,kithimu,63
313,nginda,63
314,mbeti north,63
315,kirimari,63
316,gaturi south,63
317,gaturi north,64
318,kagaari south,64
319,central  ward,64
320,kagaari north,64
321,kyeni north,64
322,kyeni south,64
323,mwea,65
324,makima,65
325,mbeti south,65
326,mavuria,65
327,kiambere,65
328,nthawa,66
329,muminji,66
330,evurore,66
331,ngomeni,67
332,kyuso,67
333,mumoni,67
334,tseikuru,67
335,tharaka,67
336,kyome/thaana,68
337,nguutani,68
338,migwani,68
339,kiomo/kyethani,68
340,central,69
341,kivou,69
342,nguni,69
343,nuu,69
344,mui,69
345,waita,69
346,mutonguni,70
347,kauwi,70
348,matinyani,70
349,kwa mutonga/kithumula,70
350,kisasi,71
351,mbitini,71
352,kwavonza/yatta,71
353,kanyangi,71
354,miambani,72
355,township,72
356,kyangwithya west,72
357,mulango,72
358,kyangwithya east,72
359,zombe/mwitika,73
360,chuluni,73
361,nzambani,73
362,voo/kyamatu,73
363,endau/malalani,73
364,mutito/kaliku,73
365,ikanga/kyatune,74
366,mutomo,74
367,mutha,74
368,ikutha,74
369,kanziko,74
370,athi,74
371,kivaa,75
372,masinga central,75
373,ekalakala,75
374,muthesya,75
375,ndithini,75
376,ndalani,76
377,matuu,76
378,kithimani,76
379,ikombe,76
380,katangi,76
381,kangundo north,77
382,kangundo central,77
383,kangundo east,77
384,kangundo west,77
385,tala,78
386,matungulu north,78
387,matungulu east,78
388,matungulu west,78
389,kyeleni,78
390,mitaboni,79
391,kathiani central,79
392,upper kaewa/iveti,79
393,lower kaewa/kaani,79
394,athi river,80
395,kinanie,80
396,muthwani,80
397,syokimau/mulolongo,80
398,kalama,81
399,mua,81
400,mutituni,81
401,machakos central,81
402,mumbuni north,81
403,muvuti/kiima-kimwe,81
404,kola,81
405,mbiuni,82
406,makutano/ mwala,82
407,masii,82
408,muthetheni,82
409,wamunyu,82
410,kibauni,82
411,tulimani,83
412,mbooni,83
413,kithungo/kitundu,83
414,kisau/kiteta,83
415,waia/kako,83
416,kalawa,83
417,kasikeu,84
418,mukaa,84
419,kiima kiu/kalanzoni,84
420,ukia,85
421,kee,85
422,kilungu,85
423,ilima,85
424,wote,86
425,muvau/kikuumini,86
426,mavindini,86
427,kitise/kithuki,86
428,kathonzweni,86
429,nzaui/kilili/kalamba,86
430,mbitini,86
431,makindu,87
432,nguumo,87
433,kikumbulyu north,87
434,kikumbulyu south,87
435,nguu/masumba,87
436,emali/mulala,87
437,masongaleni,88
438,mtito andei,88
439,thange,88
440,ivingoni/nzambani,88
441,engineer,89
442,gathara,89
443,north kinangop,89
444,murungaru,89
445,njabini\kiburu,89
446,nyakio,89
447,githabai,89
448,magumu,89
449,wanjohi,90
450,kipipiri,90
451,geta,90
452,githioro,90
453,karau,91
454,kanjuiri ridge,91
455,mirangine,91
456,kaimbaga,91
457,rurii,91
458,gathanji,92
459,gatimu,92
460,weru,92
461,charagita,92
462,leshau pondo,93
463,kiriita,93
464,central,93
465,shamata,93
466,dedan kimanthi,94
467,wamagana,94
468,aguthi/gaaki,94
469,mweiga,95
470,naromoru kiamathaga,95
471,mwiyogo/endarasha,95
472,mugunda,95
473,gatarakwa,95
474,thegu river,95
475,kabaru,95
476,gakawa,95
477,ruguru,96
478,magutu,96
479,iriaini,96
480,konyu,96
481,kirimukuyu,96
482,karatina town,96
483,mahiga,97
484,iria-ini,97
485,chinga,97
486,karima,97
487,gikondi,98
488,rugi,98
489,mukurwe-ini west,98
490,mukurwe-ini central,98
491,kiganjo/mathari,99
492,rware,99
493,gatitu/muruguru,99
494,ruring'u,99
495,kamakwa/mukaro,99
496,mutithi,100
497,kangai,100
498,thiba,100
499,wamumu,100
500,nyangati,100
501,murinduko,100
502,gathigiriri,100
503,tebere,100
504,kabare,101
505,baragwi,101
506,njukiini,101
507,ngariama,101
508,karumandi,101
509,mukure,102
510,kiine,102
511,kariti,102
512,mutira,103
513,kanyeki-ini,103
514,kerugoya,103
515,inoi,103
516,kanyenyaini,104
517,muguru,104
518,rwathia,104
519,gitugi,105
520,kiru,105
521,kamacharia,105
522,wangu,106
523,mugoiri,106
524,mbiri,106
525,township,106
526,murarandia,106
527,gaturi,106
528,kahumbu,107
529,muthithi,107
530,kigumo,107
531,kangari,107
532,kinyona,107
533,kimorori/wempa,108
534,makuyu,108
535,kambiti,108
536,kamahuha,108
537,ichagaki,108
538,nginda,108
539,ng'araria,109
540,muruka,109
541,kagundu-ini,109
542,gaichanjiru,109
543,ithiru,109
544,ruchu,109
545,ithanga,110
546,kakuzi/mitubiri,110
547,mugumo-ini,110
548,kihumbu-ini,110
549,gatanga,110
550,kariara,110
551,kiamwangi,111
552,kiganjo,111
553,ndarugu,111
554,ngenda,111
555,gituamba,112
556,githobokoni,112
557,chania,112
558,mang'u,112
559,murera,113
560,theta,113
561,juja,113
562,witeithie,113
563,kalimoni,113
564,township,114
565,kamenu,114
566,hospital,114
567,gatuanyaga,114
568,ngoliba,114
569,gitothua,115
570,biashara,115
571,gatongora,115
572,kahawa sukari,115
573,kahawa wendani,115
574,kiuu,115
575,mwiki,115
576,mwihoko,115
577,githunguri,116
578,githiga,116
579,ikinu,116
580,ngewa,116
581,komothai,116
582,ting'ang'a,117
583,ndumberi,117
584,riabai,117
585,township,117
586,cianda,118
587,karuri,118
588,ndenderu,118
589,muchatha,118
590,kihara,118
591,gitaru,119
592,muguga,119
593,nyadhuna,119
594,kabete,119
595,uthiru,119
596,karai,120
597,nachu,120
598,sigona,120
599,kikuyu,120
600,kinoo,120
601,bibirioni,121
602,limuru central,121
603,ndeiya,121
604,limuru east,121
605,ngecha tigoni,121
606,kinale,122
607,kijabe,122
608,nyanduma,122
609,kamburu,122
610,lari/kirenga,122
611,kaeris,123
612,lake zone,123
613,lapur,123
614,kaaleng/kaikor,123
615,kibish,123
616,nakalale,123
617,kakuma,124
618,lopur,124
619,letea,124
620,songot,124
621,kalobeyei,124
622,lokichoggio,124
623,nanaam,124
624,kerio delta,125
625,kang'atotha,125
626,kalokol,125
627,lodwar township,125
628,kanamkemer,125
629,kotaruk/lobei,126
630,turkwel,126
631,loima,126
632,lokiriama/lorengippi,126
633,kaputir,127
634,katilu,127
635,lobokat,127
636,kalapata,127
637,lokichar,127
638,kapedo/napeitom,128
639,katilia,128
640,lokori/kochodin,128
641,riwo,129
642,kapenguria,129
643,mnagei,129
644,siyoi,129
645,endugh,129
646,sook,129
647,sekerr,130
648,masool,130
649,lomut,130
650,weiwei,130
651,suam,131
652,kodich,131
653,kapckok,131
654,kasei,131
655,kiwawa,131
656,alale,131
657,chepareria,132
658,batei,132
659,lelan,132
660,tapach,132
661,lodokejek,133
662,suguta marmar,133
663,maralal,133
664,loosuk,133
665,poro,133
666,el-barta,134
667,nachola,134
668,ndoto,134
669,nyiro,134
670,angata nanyokie,134
671,baawa,134
672,waso,135
673,wamba west,135
674,wamba east,135
675,wamba north,135
676,kapomboi,136
677,kwanza,136
678,keiyo,136
679,bidii,136
680,chepchoina,137
681,endebess,137
682,matumbei,137
683,kinyoro,138
684,matisi,138
685,tuwani,138
686,saboti,138
687,machewa,138
688,kiminini,139
689,waitaluk,139
690,sirende,139
691,hospital,139
